"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17033","validating Featured Itens product information","firefox","Sat Nov 22 16:56:05 UTC 2025","passed","Sat Nov 22 16:56:22 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","0","TC4 - Logout User","webkit","Thu Nov 27 23:11:16 UTC 2025","skipped","Thu Nov 27 23:11:16 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","0","TC6 - Contact Us Form","webkit","Thu Nov 27 23:11:16 UTC 2025","skipped","Thu Nov 27 23:11:16 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","2113","TC8 - Verify All Products and product detail page","firefox","Thu Nov 27 23:10:37 UTC 2025","passed","Thu Nov 27 23:10:40 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","3026","TC9 - Search Product","webkit","Thu Nov 27 23:11:21 UTC 2025","passed","Thu Nov 27 23:11:25 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks that each product in the Featured Items section displays its name, price, and image correctly.","1755","Validating Featured Items product information visibility","firefox","Thu Nov 27 23:10:34 UTC 2025","passed","Thu Nov 27 23:10:36 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case verifies that the buttons on each carrousel slide are visible and functional, ensuring users can interact with them as intended.","3458","Validating carrousel slide buttons visibility and functionality","webkit","Thu Nov 27 23:11:02 UTC 2025","passed","Thu Nov 27 23:11:05 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","6248","validating carrousel buttons","chromium","Sat Nov 22 16:54:25 UTC 2025","passed","Sat Nov 22 16:54:32 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","0","TC4 - Logout User","firefox","Thu Nov 27 23:10:36 UTC 2025","skipped","Thu Nov 27 23:10:36 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","2752","TC8 - Verify All Products and product detail page","chromium","Thu Nov 27 23:10:09 UTC 2025","passed","Thu Nov 27 23:10:11 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","7121","validating Featured Items section","webkit","Sat Nov 22 16:58:01 UTC 2025","passed","Sat Nov 22 16:58:08 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","15246","validating carrousel buttons","firefox","Sat Nov 22 16:55:46 UTC 2025","passed","Sat Nov 22 16:56:01 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","19530","validating logo is visible","firefox","Sat Nov 22 16:55:14 UTC 2025","passed","Sat Nov 22 16:55:34 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
